record_key,source_id,phase,tolerance_ms,true_sec,pred_sec,error_ms,detected,uncertain,within_tolerance,TP_conventional,FP_conventional,FN_conventional,current_TP,current_FP,current_FN,classification_conventional,classification_current
stead_event_00001.csv,uw60442066,S,200,12.78,12.95,169.999999999998,1,1,1,1,0,0,1,0,0,TP,TP
stead_event_00007.csv,13487328,S,200,7.63,NaN,NaN,0,0,0,0,0,1,0,0,1,FN_missing,FN_missing
stead_event_00011.csv,ak0114gk7buk,S,200,11.13,10.19,-940.000000000001,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00033.csv,ak18304808,S,200,11.73,12.14,410,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00034.csv,ak18438481,S,200,13.31,12.83,-480,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00043.csv,13279134,S,200,9.84,9.87,29.9999999999994,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00050.csv,16538652,S,200,10.41,NaN,NaN,0,0,0,0,0,1,0,0,1,FN_missing,FN_missing
stead_event_00052.csv,hv60901086,S,200,13.39,13.4,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00053.csv,hv60901406,S,200,12.32,12.03,-290.000000000001,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00055.csv,hv60901726,S,200,11.03,10.96,-69.9999999999985,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00069.csv,hv60906871,S,200,11.35,NaN,NaN,0,0,0,0,0,1,0,0,1,FN_missing,FN_missing
stead_event_00080.csv,hv60908481,S,200,11.99,11.16,-830,1,1,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00088.csv,hv60910366,S,200,12.35,12.5,150,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00104.csv,hv60914806,S,200,12.51,11.9,-609.999999999999,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00112.csv,hv60916191,S,200,11.21,11.17,-40.0000000000009,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00115.csv,hv60918376,S,200,12.19,12.15,-39.9999999999991,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00118.csv,hv60918936,S,200,13.06,14.99,1930,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00121.csv,hv60920211,S,200,12.99,12.95,-40.0000000000009,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00127.csv,hv60921636,S,200,11.79,11.78,-10.0000000000016,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00134.csv,hv60926821,S,200,13,13.05,50.0000000000007,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00139.csv,hv60928436,S,200,12.01,13.49,1480,1,1,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00140.csv,hv60928616,S,200,11.48,10.91,-570,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00150.csv,hv60931326,S,200,11.86,11.99,130.000000000001,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00154.csv,hv60931446,S,200,8.28,8.48,200.000000000001,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00178.csv,hv60966561,S,200,6.7,7.25,550,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00182.csv,hv60968301,S,200,15.34,14.7,-640.000000000001,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00183.csv,hv60968786,S,200,9.75,8.63,-1120,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00191.csv,hv60976706,S,200,10.41,9.61,-800.000000000001,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00192.csv,hv60978051,S,200,10.89,10.9,9.99999999999979,1,1,1,1,0,0,1,0,0,TP,TP
stead_event_00197.csv,hv60986616,S,200,11.9,11.79,-110.000000000001,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00198.csv,hv60988776,S,200,8.4,8.6,199.999999999999,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00203.csv,hv60997796,S,200,9.8,9.68,-120.000000000001,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00226.csv,hv61058691,S,200,8.36,8.88,520.000000000001,1,1,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00228.csv,hv61059176,S,200,7.71,NaN,NaN,0,0,0,0,0,1,0,0,1,FN_missing,FN_missing
stead_event_00240.csv,hv61086956,S,200,6.92,NaN,NaN,0,0,0,0,0,1,0,0,1,FN_missing,FN_missing
stead_event_00241.csv,hv61088071,S,200,5.83,NaN,NaN,0,0,0,0,0,1,0,0,1,FN_missing,FN_missing
stead_event_00242.csv,hv61089106,S,200,8.22,10.81,2590,1,1,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00245.csv,hv61099496,S,200,8.4,8.09,-310.000000000001,1,1,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00247.csv,hv61105861,S,200,9.2,9.13,-70.0000000000003,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00248.csv,hv61106101,S,200,11.05,10.81,-240,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00256.csv,hv61120311,S,200,9.89,9.93,39.9999999999991,1,1,1,1,0,0,1,0,0,TP,TP
stead_event_00261.csv,hv61125041,S,200,11.78,11.94,160,1,1,1,1,0,0,1,0,0,TP,TP
stead_event_00264.csv,hv61133066,S,200,11.08,11.15,70.0000000000003,1,1,1,1,0,0,1,0,0,TP,TP
stead_event_00272.csv,hv61141866,S,200,11.37,11.26,-110.000000000001,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00273.csv,hv61145391,S,200,8.73,8.93,199.999999999999,1,1,1,1,0,0,1,0,0,TP,TP
stead_event_00280.csv,hv61157446,S,200,8.99,NaN,NaN,0,0,0,0,0,1,0,0,1,FN_missing,FN_missing
stead_event_00305.csv,hv61190896,S,200,7.41,NaN,NaN,0,0,0,0,0,1,0,0,1,FN_missing,FN_missing
stead_event_00313.csv,hv61198966,S,200,11.53,12.32,790.000000000001,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00324.csv,hv61227431,S,200,10.64,10.38,-260,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00351.csv,hv61289741,S,200,11.68,11.63,-49.9999999999989,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00358.csv,hv61301126,S,200,11.34,11.35,9.99999999999979,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00364.csv,hv61313351,S,200,12.66,12.62,-40.0000000000009,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00366.csv,hv61313951,S,200,11.87,11.54,-330.000000000002,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00367.csv,hv61314166,S,200,9.51,9.57,60.0000000000005,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00383.csv,hv61351376,S,200,12.27,11.31,-959.999999999999,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00390.csv,hv61373431,S,200,10.51,10.59,80.0000000000001,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00395.csv,hv61387541,S,200,13.23,17.74,4510,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00396.csv,hv61387641,S,200,10.23,14.74,4510,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00401.csv,hv61404776,S,200,7.77,7.66,-110,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00405.csv,hv61415741,S,200,11.46,15.85,4390,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00408.csv,hv61424936,S,200,11.51,11.07,-439.999999999999,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00411.csv,hv61431046,S,200,15.48,14.45,-1030,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00412.csv,hv61443381,S,200,14.48,13.45,-1030,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00427.csv,hv61470176,S,200,14.7,15.38,680,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00441.csv,hv61491046,S,200,13.12,12.95,-170.000000000002,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00445.csv,hv61494321,S,200,12,11.32,-680,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00446.csv,hv61494421,S,200,13.2,13.62,419.999999999998,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00453.csv,hv61515041,S,200,13.03,13.19,159.999999999998,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00464.csv,hv61573621,S,200,12.95,12.81,-140.000000000001,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00467.csv,hv61586936,S,200,9.22,9.25,29.9999999999994,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00469.csv,hv61591531,S,200,6.43,6.58,150,1,0,1,1,0,0,1,0,0,TP,TP
stead_event_00471.csv,hv61596221,S,200,7.37,7.14,-230,1,0,0,0,1,1,0,1,0,FP_plus_FN,FP_only
stead_event_00473.csv,hv61626271,S,200,12.72,12.57,-150,1,0,1,1,0,0,1,0,0,TP,TP
