event_id,source_id,p_true_sec,s_true_sec,p_peak,p_quality,p_time,s_peak_20,s_quality_20,s_time_20,s_peak_30,s_quality_30,s_time_30,s_peak_40,s_quality_40,s_time_40
stead_event_00007,12962350,4,7.63,0.976288199424744,271.006987509116,4.01,0.957445800304413,53.0320133165974,7.76,0.957445800304413,79.4971643692234,7.76,0.957445800304413,105.776956061362,7.76
stead_event_00008,ci10279289,9,12.25,0.97294282913208,266.29482557385,9.01,0.733484148979187,32.3085759217151,12.61,0.733484148979187,48.4548276908156,12.61,0.733484148979187,64.5232356396583,12.61
stead_event_00009,12962332,8,11.44,0.961006641387939,307.20596717015,8.01,0.825129806995392,38.2462440476086,11.61,0.825129806995392,57.3534257327075,11.61,0.825129806995392,76.3664429430847,11.61
stead_event_00012,10925153,9,15.37,0.969951927661896,282.29185585631,9.01,0.962902724742889,50.4345573447734,15.48,0.962902724742889,75.6059241722588,15.48,0.962902724742889,100.602589057455,15.48
stead_event_00016,13259505,6,11.24,0.892010807991028,300.885096744754,6.01,0.449030548334122,13.9034780475662,11.54,0.449030548334122,20.844216992102,11.54,0.449030548334122,27.762008595742,11.54
stead_event_00017,604179950,9,13.24,0.941455841064453,254.188030081996,8.98,0.877415239810944,26.3513105350697,13.24,0.877415239810944,39.5243666396058,13.24,0.877415239810944,52.6546680210205,13.24
stead_event_00018,604179950,6,10.24,0.94916182756424,247.643771061293,5.98,0.778955101966858,29.7723018686346,10.24,0.778955101966858,44.637468867972,10.24,0.778955101966858,59.441191782547,10.24
stead_event_00051,449393,11.16,11.59,0.910649180412292,173.358493893133,11.09,0.656430780887604,98.849437514837,11.59,0.656430780887604,147.446210054499,11.59,0.656430780887604,195.370161440659,11.59
stead_event_00085,449393,10.96,12.04,0.642367243766785,158.198214859234,10.94,0.953874707221985,48.4707328910855,12.08,0.953874707221985,72.6415960754285,12.08,0.953874707221985,96.6865789842684,12.08
stead_event_00103,495,14.3,15.31,0.4697645008564,230.124118061752,14.05,0.733279228210449,38.3167101019447,15.29,0.733279228210449,57.3692520480987,15.29,0.733279228210449,76.3496990296394,15.29
stead_event_00108,449393,11.02,11.92,0.80113011598587,198.727916918059,10.97,0.924049556255341,54.3890681525514,11.97,0.924049556255341,81.4759775611715,11.97,0.924049556255341,108.415622712219,11.97
stead_event_00125,431338,11.43,12.52,0.752974689006805,158.678192304842,11.57,0.771926462650299,61.4705367693779,12.54,0.771926462650299,91.9800567805845,12.54,0.771926462650299,122.267029562596,12.54
stead_event_00132,419463,11.61,12.6,0.56432843208313,141.850542134065,7.01,0.888285636901855,42.6646560726789,12.59,0.888285636901855,63.928290297306,12.59,0.888285636901855,85.1128317540825,12.59
stead_event_00140,602347413,6,11.48,0.959946751594543,313.292728295565,6.01,0.898861527442932,26.7421048411845,11.56,0.898861527442932,40.1150126023063,11.56,0.898861527442932,53.4541203083118,11.56
stead_event_00141,602347413,4,9.48,0.982448399066925,287.124307360853,4.01,0.749227225780487,25.2140279182551,9.53,0.749227225780487,37.8153489205197,9.53,0.749227225780487,50.3799503731415,9.53
stead_event_00161,ld60047501,8,9.89,0.869956254959106,318.026429173424,7.97,0.988587737083435,64.8915579200928,9.84,0.988587737083435,97.1508414885413,9.84,0.988587737083435,129.217659816296,9.84
stead_event_00162,603441563,4.48,7.25,0.954143583774567,264.702501977082,4.01,0.895628213882446,38.5518452900876,7.24,0.895628213882446,57.7900525427037,7.24,0.895628213882446,76.953724898957,7.24
stead_event_00177,16334499,9,17.5,0.95449161529541,243.432248120021,9.01,0.613789319992065,41.9556002870916,17.86,0.613789319992065,62.8605308635026,17.86,0.613789319992065,83.6827138421207,17.86
stead_event_00178,16336727,5,6.7,0.9547119140625,289.800073356633,5.01,0.783537149429321,36.1083328315589,7.31,0.783537149429321,54.1073415460738,7.31,0.783537149429321,72.0328266821751,7.31
stead_event_00184,ci11209170,10,14.5,0.933979511260986,255.963608987339,9.97,0.968786835670471,52.6195838466132,14.48,0.968786835670471,78.8814082739359,14.48,0.968786835670471,104.930691820813,14.48
stead_event_00193,15898998,9,13.45,0.950729191303253,279.154829200841,8.97,0.85263580083847,40.3456225228744,13.28,0.85263580083847,60.4925716033944,13.28,0.85263580083847,80.5722245154046,13.28
stead_event_00194,15899135,9,15.02,0.90456610918045,259.755819485356,8.97,0.566781103610992,30.3377523964687,15.74,0.566781103610992,45.4181461079555,15.74,0.566781103610992,60.404646243809,15.74
stead_event_00208,605626911,7,15.44,0.982381880283356,272.951960636823,6.98,0.656771242618561,26.8151003579673,15.7,0.656771242618561,40.140208853129,15.7,0.656771242618561,53.452628166359,15.7
stead_event_00218,12680913,5,9.8,0.953714787960052,206.437872555986,5.01,0.894740879535675,47.9142717154413,9.8,0.894740879535675,71.7777497494041,9.8,0.894740879535675,95.5255293372563,9.8
stead_event_00225,602562570,9,12.36,0.950289666652679,286.569916539609,8.98,0.821099817752838,34.337073746842,12.74,0.821099817752838,51.4721551478482,12.74,0.821099817752838,68.5407931558849,12.74
stead_event_00226,602562570,5,8.36,0.952634930610657,292.299153747385,5.01,0.809468746185303,34.7631363888196,8.74,0.809468746185303,52.1092502954,8.74,0.809468746185303,69.3845590481549,8.74
stead_event_00227,603798149,8,10.71,0.953720211982727,294.796993448103,8.01,0.7347012758255,23.4560396042556,10.73,0.7347012758255,35.176164460476,10.73,0.7347012758255,46.8636986681988,10.73
stead_event_00228,603798149,5,7.71,0.967671096324921,283.102582377889,5.01,0.803807556629181,33.5004887005224,7.72,0.803807556629181,50.2144338899856,7.72,0.803807556629181,66.8667349805847,7.72
stead_event_00239,hv61128081,4,6.65,0.979998886585236,265.693628256716,4.01,0.898784935474396,41.2559064433711,6.76,0.898784935474396,61.8497681882307,6.76,0.898784935474396,82.3094169509822,6.76
stead_event_00243,hv61222466,8,11.06,0.974922299385071,299.826166311963,8.01,0.812143266201019,36.5203513949501,10.84,0.812143266201019,54.7209613143814,10.84,0.812143266201019,72.8200388420466,10.84
stead_event_00249,hv61414371,7.01,12.2,0.968022167682648,269.296313035917,7.01,0.868336498737335,33.7857186570438,12.21,0.868336498737335,50.6495133179532,12.21,0.868336498737335,67.4538711043034,12.21
