event_id,sha256,waveform_f32_sha256
stead_event_00000,b1ba9c4663ef2f480465c8975210c1752f0e47df950c8b5edefb6ea9b28456ef,4a06486cb8d36f5d9003550c8e7252c54183a4c5c32cc4ec218f4511429b5db1
stead_event_00001,ce30d03b37553fc4292be3c8ddd47680ca44fbf0a1ea37919ea0be456275d1af,6e2daaa9b00d7fb081a2d5bd45f846ad2ad3873a2cc7a797d38e073a0534f281
stead_event_00002,3fd2ce71db6ff205eded1f042b0e0c35a9043a49b8c88cee142fec0a91f2aed1,1eed1c2714010f86aa20d71d642ffe7254a61408854180148acdfb289ce92e42
stead_event_00003,ff70ace88a2b100aed69b21f2996ca1cc22d384f892281ada842c92bdd34906a,236ae3331777cf8fe9236ccefbfda00d81b909820d74ece84087cf7bd2e06a31
stead_event_00004,7f0605e14a7019ab2fb1724f5f8d727bd4f6b772920dc0f4136eab5730aa1b2d,09584f5601edbabaca24ab7bf54fc9fa03981d3fc2e279f01dbe680912710487
stead_event_00005,af6078710be085e696513f90896c159fb77745446ef899ce4b8ab53ebfa6c720,55e58a1a93f266f465854cc36b0151d977f3fe25e0e4fd43dacc1e58fc7d56ee
stead_event_00006,0c7996f7760c95d720469d627fd9566f70dde600fdf31b857af64caf3aeb6cca,401910f93fb892242986c1ef433663e965488d1498861cddf12dd4db205993fd
stead_event_00007,4371917f43e7385dccb4b54840cf4b24b4273bba48a51632d5c0cfd41cdd2b3f,b4e250dfa0f54ade3233f7b37fd8020aaddc0de359b18c23dde84b311b9c9bdb
stead_event_00008,76dcaf64da0834391d59ce0a527240fc7190b7466f3e5a7a8266ef7a6c210807,0b4e5d502b5beb483672466a5512311bf68155cdf1ad41f50852bd9179979aa8
stead_event_00009,97686f511c67472a20032780b40e0a106e6d1c20425cf6a6c83463dfea54e6c2,896514ea0d74eaedd42ca5de8b8697d3b646353480a39e019024f0c8e266a532
stead_event_00010,9202465cfb150c780e9accc0e35ca56559d0d17ab7d54da08bfece4c6ac3cdb1,86615dcd1d08aa4c852a7426ab2489b7d81a0f74aebfb618d8bced3c43ece878
stead_event_00011,555995bca593824669c1f93853c9b3e48e3981e757811f8388a6c61d73f8d445,b77f1b271df4b63f4c2323d0f7b1bc1ffa4735f58df8ed99fbcdfa7c9aa58361
stead_event_00012,e2451858ba01a3d8abbcf30837f6a665dea1107de79b7e68d14f86a467d1257e,a959998d14a8371db89a84ad4934fb8c07cf8e11e27d02903d656afba37ede4a
stead_event_00013,1fe828430f3c07ffaaae5e21753cc273fcd9ea9f454f40c42887ab3199eda977,36e6aa809759ac06381788dcf2a181cd369a2cc73c09599100e2d842c8f1faf5
stead_event_00014,ec74d4749af6e47cdf7aa5f02011d868592ee24808b22c7a7041395ac4daa9b9,2a8fa60f108c80871ab23825ba41c5cb4328e47a0ab49545c0b1f0ffbcbf5473
stead_event_00015,1ca8143a9b0694410379f8d261599cb15623fb01f4e6028e7d76d0ff34c49e19,5b200c0a1f06b8287e8626a410e2148464e3781ec4b86ac6dfe51f165a528480
stead_event_00016,be57561afadf93912a59d8bddecc0167b6e0b7ccc5595fe46d9fed7cd17bf0f9,27f39ecb362d4fb933a3a486f223b5b4ff199f146ed33c7d8c9d4edf7d3214c2
stead_event_00017,589310640404622a45afee633c1ef83c9aa5eaf20e114f050ee3e7f34e992437,d2e32832f78e9de02c3deaba7b32606cad2742107055de5115a74acb5efc9a3c
stead_event_00018,01e57d0eccb4101964c0f3bf56fefeeda43c05c13290e7f77be1ebb58ddcca57,9d5344143aba805bf769e46d360b1b0311cd15d82a6dcc6648f2da5cf824101b
stead_event_00019,57ca4e28e869bd8255ec853f11849143c50e24411b5cf166827cf9a9c2d8d49d,5228a0f01b7073c1ffeab403a4db83112b84d86b2ca9f5f34a6fc1dec279c689
stead_event_00020,824890afd531cfdae3e4f75017cd049e550866eb11afeb7128fb4632252eb09f,544288454a09da3ecfa1beded39e9b36d67f0809d139ca0972382376d9368dab
stead_event_00021,889fcd564a13bded290c7de3e5ef1945aefb9375973388a477649f20d5a162b5,fa19b835e0ad7a01eb585d61bbc5ac112d01c95eae1a8d4c89a6f16a22b81ce9
stead_event_00022,fc37224563c7951282df152953ca672fa3bb0afb07737250977caa160ce9477d,cdbd78e5eb4a916db32736de3c597c7779201598d00866aeeebeadf95c5424a2
stead_event_00023,47c3df7940bb39349dfdad1dd05fbe16023cdf20a6eb60aa8a591d0dde416d73,b44707c3a86732d97e726a4e255061456965aabc57456c13d38feba01d349aad
stead_event_00024,2e433d54d1ba59746c871069f5e96ef609dce76f22b6ac643f136d93ec96838d,5c1011593488bf2dd5924f7586b8b5ea0c948f24349deda70c7c59dd5f1993f8
stead_event_00025,64ee78d8638ba521725a742a692345c250b9b884a14028cc61fcf9ba8bbe6712,b39ef19dd87cb25f14ee8bfb72b37b628f261565ffda558fc61b0510403d6bd9
stead_event_00026,751d732c1069addc00cf69d3d155e694782ed03ccb6dd5c6cb699c4c275ad511,a8387e925e2730c70139870c8f6194fc31b3bb5424e7e8d2f9739b065a02fd05
stead_event_00027,3f00f7fd61cb1da337a3b72e7b64d53d763e70baa1faba111f3727136597da9a,17d123c1ec29f4071636e9bd42fa90182eaba6ad4c69b9183a7847501795270c
stead_event_00028,b2e4948f1b133c6eefb9015384379891c6994dea8507fd673d0ec065763dedfe,2944e0074285540f13b950ac4449ed17d82e356abfcc77e55b2195d0c418d201
stead_event_00029,8607330e9b9ea6d473f06dcee4beb98a7b5ea22b420d15ab7cc6be19dea5c23c,089d569a8d0b0273d69262fd71bdf0f60eaf0a617bff32fa5271eeda1058b746
stead_event_00030,f89390cd2e7be3a369d17c7a229d98815e08a3b00bf3e991122a5caf51857688,2b52b90503b3930bb74a88737d29448ed95c2bf3ba11f9e14d2c0ecdb7ea8080
stead_event_00031,31cc2b7f612a839ffe4c037cdb25801168fdf26b367549bf8ac10a25c1d18642,a84edbf8c70a7fb39530197e6adbe6ec3787e4380fc51f4fa9e48d30324330c8
stead_event_00032,df5d285bdf59597bb44b31eae8c811647f8495becb632360b962d076f90bdcf0,7a48ddff564a2663d088b28a7e0d4a67e622e2d28e3c962e17fa8f83c584fb42
stead_event_00033,4337c062dab0c247a37f0eaf7b11a7d26671219c8eac30635a1ec99db8989ceb,1bea1957bc028a5c759c55d27a6c89f50c67e2d644fa7e1c0731d43f5b17fc8b
stead_event_00034,9496d7fb1d4dd1334f950781a1ffad84e20e41ea9b3b9a1e7a7062095f667bac,e6da25ce3e47d97721bfcf27ca8b36c46413a3fdaf2dac47df21be523b770e29
stead_event_00035,25f5ff816ed9173836b3c67f24b43ba0588876c89d75ecd22ab3d2cdc6e4e39d,b9397fef4675b31f55d87f380e9a5fb6bbecb0abfe00a2631cbb23360ffbed33
stead_event_00036,4a9c72009e9aba9319e1b14a1779aeffb8c8682fec9007e0904fec5bbf192c0f,bb281e48505271f0fe7c14e41130c1c9bee48442b155602abf9fd89ecd937476
stead_event_00037,0dcb209ad549f0c3e8bb530d43d23b65e5f2cea0191ea0b674b0d09da0558ece,66e6e05eace7acfa66153fe1bf8f94b7f7be3154ff96c86c5dd50e1fbc761eff
stead_event_00038,954e6bcbce08b0ad0c87661b3b4ed0fb19a830c95e6b3cc57f1bf85fa7d6316d,23924985be020c8f48352ee535301de96e5f4f3b1c14ca3f6ed1bd08d867b367
stead_event_00039,621cd8ce11b593733afcfb736c6003a0998e26db00fbc8c238b76901ceb4f87e,beb3936065686b1cbd38e64c2b9b97b35dd4de3009df9f4aa56e2d7f0159cd84
stead_event_00040,c747b451879a358c933ee3c103aacacc7b09b07b07f6fdf2a5a76cb1aa30e290,ebad4cf854d1cc3863999caa2e82ec588c1ad588c696336be7e5bd2877138cf4
stead_event_00041,7d5d4db6c8b0c666fe0fa5798ada2ea801c7dbed70822e98ae96be6fe93421b1,a7400a1804ba522ab869551b7026659f987b9e045589238af8d0315ce9a951af
stead_event_00042,74ba50fe4aeae74da2bb820f9c3f7b69ba7167ba077067fa9892be882c329825,1e28781cd76e66df5e3d8b8e7c25cdf5c6d599c411c38ac7f8c96f4eeb8c6b4f
stead_event_00043,d1368b1bf1915ad2871c621bee55f904503ccaa3be07dd943f95d9e723431719,dadf9b192b2c758ab2a5d2b2e3480c2097829be4e0f48d8a6f721b27a7f9202c
stead_event_00044,9d99baa8b32ea7b8dd9fe3be3793f599d3c4adb0c1b6f7f9a548f6b695501db0,c296bf9af78ec0009bd1a7da3e423ab5ea002d3b0a581c8cc74e2fbcdb1351b4
stead_event_00045,1dbdf6aed31b68d48ef29ab08382b44f62f75cc2b7a834f10ddc17be5575b8ba,2818ea12159ab8b6cb8f7137078fbee2abecfdf5587f1e64eedee2d4c4138430
stead_event_00046,4e6aa8573dbabb3812bc58de4995db3eb75bb7830cfefdfbe9beab8c6a57f07a,6b05e3d71f1d0c3019cccb04180c3e7e550b9c125f863c6ad2fc1c95054c8e57
stead_event_00047,643f3a17ae20e6cf10234030013802548a0ab7275ff952b7c3acbc2da3735f4b,3e1963a82896ca5e85c2ba113c14c3e273d4322f24b2fe045de22a598b5fe9e1
stead_event_00048,d8fac3fc26cda82ca0692c9353042b90f2c6e0387a33e9035d3e65e6c5bf3137,ed2f5795bfd03519733db724938c287ab7fb208f5f3631db88f9290f62d84669
stead_event_00049,fd6d4ddeabe448d80b98af30fd03b41d019a26cf62876deeac34c27b67a542cc,16531b53e38734a73e59e60c8ce40763fcf1b3d0db06aa6efe9624989cf9b98e
stead_event_00050,ab54fc3fd147874a165da8cc043ea08419b61a92780b142acde0925ab7ba7ccf,10d05cae868f72c5da5a9513f1f930ae972a20ade7d437391a0e97655e738bfc
stead_event_00051,f4407b35a7c40419a22fa7f48bef157bb0b1025878226ac6bc82ff53c5efaba3,1f730a849c4624590b831127f1b259bbd784993b5332a2e904d2670b5012e303
stead_event_00052,bc03c247e057ea5b70e5e86f9ebfe731170127927f618548def2fd9b905a5985,153f8c58fa0cd91ea3cf9c2db3815c5b15659bb3ca26e27db8d8292dc57178f3
