event_id,source_id,p_true_sec,s_true_sec,p_peak,p_quality,p_time,s_peak_20,s_quality_20,s_time_20,s_peak_30,s_quality_30,s_time_30,s_peak_40,s_quality_40,s_time_40
stead_event_00007,12962350,4,7.63,0.978411197662354,288.789001931089,4,0.612248361110687,21.4102998450149,7.71,0.612248361110687,32.0711431611423,7.71,0.612248361110687,42.6967155908551,7.71
stead_event_00008,ci10279289,9,12.25,0.952790200710297,300.867862559908,9,0.497189849615097,18.8297122820925,12.89,0.497189849615097,28.2077619059966,12.89,0.497189849615097,37.547418971127,12.89
stead_event_00009,12962332,8,11.44,0.972468674182892,296.536076258185,8,0.745212078094482,27.7119415297793,11.65,0.745212078094482,41.513144243414,11.65,0.745212078094482,55.2556243697343,11.65
stead_event_00012,10925153,9,15.37,0.815934836864471,284.754087818924,8.98,0.950654447078705,39.3147028402678,15.59,0.950654447078705,58.9030939067951,15.59,0.950654447078705,78.3823823296666,15.59
stead_event_00016,13259505,6,11.24,0.928145527839661,289.33301740488,6.01,0.537856638431549,18.2126635441928,13.41,0.537856638431549,27.2591821223943,13.41,0.537856638431549,36.2745391571584,13.41
stead_event_00017,604179950,9,13.24,0.850168228149414,271.302587713932,8.98,0.756531238555908,32.3466679934797,12.19,0.756531238555908,48.3947148854595,12.19,0.756531238555908,64.3943640358206,12.19
stead_event_00018,604179950,6,10.24,0.877388715744019,263.528734286212,5.97,0.754338443279266,25.385086969574,9.11,0.754338443279266,38.0111040753132,9.11,0.754338443279266,50.6100634949235,9.11
stead_event_00051,449393,11.16,11.59,0.769512057304382,185.16962862945,11.16,0.754410088062286,43.4893212531838,11.76,0.754410088062286,65.1402376053542,11.76,0.754410088062286,86.6701202179897,11.76
stead_event_00085,449393,10.96,12.04,0.936766803264618,260.908108045054,10.97,0.890308320522308,48.4187788068979,12.07,0.890308320522308,72.4709090031747,12.07,0.890308320522308,96.403593064922,12.07
stead_event_00103,495,14.3,15.31,0.95050460100174,228.835605190065,14.29,0.787288963794708,44.1248595124624,15.25,0.787288963794708,66.0603515423974,15.25,0.787288963794708,87.8821880699742,15.25
stead_event_00108,449393,11.02,11.92,0.826721131801605,213.16178696415,11.01,0.912046909332275,43.3226276354235,11.84,0.912046909332275,64.9184356608906,11.84,0.912046909332275,86.4132125879387,11.84
stead_event_00125,431338,11.43,12.52,0.864012181758881,253.959151919895,11.49,0.618585407733917,39.0337754315672,12.53,0.618585407733917,58.4320856297017,12.53,0.618585407733917,77.7042862455467,12.53
stead_event_00132,419463,11.61,12.6,0.817305266857147,227.504734279846,11.54,0.840777277946472,37.3216987322154,12.67,0.840777277946472,55.8800987343741,12.67,0.840777277946472,74.3034036014964,12.67
stead_event_00140,602347413,6,11.48,0.955640316009521,295.560660773968,6,0.633684515953064,25.9463695415427,10.87,0.633684515953064,38.8132192947436,10.87,0.633684515953064,51.6381180835839,10.87
stead_event_00141,602347413,4,9.48,0.942073941230774,296.104513447135,4,0.540732085704803,24.6991170045761,8.63,0.540732085704803,36.9349290051012,8.63,0.540732085704803,49.1264977407523,8.63
stead_event_00161,ld60047501,8,9.89,0.8901606798172,238.090148086996,8.01,0.972834944725037,48.6493021659029,9.81,0.972834944725037,72.8128019272727,9.81,0.972834944725037,96.8736632746517,9.81
stead_event_00162,603441563,4.48,7.25,0.874605476856232,239.401638476609,4.01,0.829136669635773,41.1216175880495,7.45,0.829136669635773,61.5982889888463,7.45,0.829136669635773,81.9847075397658,7.45
stead_event_00177,16334499,9,17.5,0.706785559654236,264.541669334368,9,0.286636471748352,17.5114449298999,18.1,0.286636471748352,26.150276966467,18.1,0.286636471748352,34.6803571732291,18.1
stead_event_00178,16336727,5,6.7,0.935089349746704,286.327079093384,5.01,0.715228676795959,26.7678334265931,7.35,0.715228676795959,40.1202937830106,7.35,0.715228676795959,53.4205138576312,7.35
stead_event_00184,ci11209170,10,14.5,0.964725017547607,293.359869825273,9.97,0.563459038734436,20.4883517593834,13.57,0.563459038734436,30.6821160208654,13.57,0.563459038734436,40.8441388674611,13.57
stead_event_00193,15898998,9,13.45,0.826161801815033,305.392264033302,8.97,0.523830354213715,25.0261984282233,12.79,0.523830354213715,37.4183510877056,12.79,0.523830354213715,49.7340695193415,12.79
stead_event_00194,15899135,9,15.02,0.193621382117271,223.718043419795,7.94,0.817749679088593,24.4305650159424,8.87,0.817749679088593,36.5956276847575,8.87,0.817749679088593,48.6834538811317,8.87
stead_event_00208,605626911,7,15.44,0.968593001365662,274.327159058076,7,0.337895780801773,12.8401839761599,9.75,0.337895780801773,19.2252974178741,9.75,0.337895780801773,25.567620254702,9.75
