subset,Method,Mode,BaseSeed,MetaSeed,Policy,Phase,Tolerance_ms,N,N_sources,N_accepted,TP,FP,FN,F1,Coverage,MAE_ms,MedianAE_ms,RMSE_ms,P90AE_ms,Outlier1s
all_test,Stack,Full3C,42,42,accepted,P,50,330,221,327,232,95,98,0.7062404870624048,0.990909090909091,126.97247706422004,29.99999999999936,649.2578685056607,160.00000000000014,0.012232415902140673
all_test,Stack,Full3C,42,42,accepted,P,100,330,221,327,276,51,54,0.8401826484018264,0.990909090909091,126.97247706422004,29.99999999999936,649.2578685056607,160.00000000000014,0.012232415902140673
all_test,Stack,Full3C,42,42,accepted,P,200,330,221,327,300,27,30,0.91324200913242,0.990909090909091,126.97247706422004,29.99999999999936,649.2578685056607,160.00000000000014,0.012232415902140673
all_test,Stack,Full3C,42,42,accepted,S,50,330,221,322,123,199,207,0.3773006134969325,0.9757575757575757,492.2049689440994,80.00000000000185,1596.7777141239733,628.9999999999992,0.062111801242236024
all_test,Stack,Full3C,42,42,accepted,S,100,330,221,322,181,141,149,0.5552147239263804,0.9757575757575757,492.2049689440994,80.00000000000185,1596.7777141239733,628.9999999999992,0.062111801242236024
all_test,Stack,Full3C,42,42,accepted,S,200,330,221,322,221,101,109,0.6779141104294478,0.9757575757575757,492.2049689440994,80.00000000000185,1596.7777141239733,628.9999999999992,0.062111801242236024
all_test,Stack,Full3C,42,42,strict,P,50,330,221,324,231,93,99,0.7064220183486238,0.9818181818181818,126.45061728395048,29.99999999999936,651.8963316053357,160.00000000000014,0.012345679012345678
all_test,Stack,Full3C,42,42,strict,P,100,330,221,324,275,49,55,0.8409785932721713,0.9818181818181818,126.45061728395048,29.99999999999936,651.8963316053357,160.00000000000014,0.012345679012345678
all_test,Stack,Full3C,42,42,strict,P,200,330,221,324,298,26,32,0.9113149847094801,0.9818181818181818,126.45061728395048,29.99999999999936,651.8963316053357,160.00000000000014,0.012345679012345678
all_test,Stack,Full3C,42,42,strict,S,50,330,221,315,122,193,208,0.37829457364341085,0.9545454545454546,470.7936507936508,80.00000000000007,1572.1359446852646,586.0000000000002,0.05714285714285714
all_test,Stack,Full3C,42,42,strict,S,100,330,221,315,179,136,151,0.5550387596899224,0.9545454545454546,470.7936507936508,80.00000000000007,1572.1359446852646,586.0000000000002,0.05714285714285714
all_test,Stack,Full3C,42,42,strict,S,200,330,221,315,219,96,111,0.6790697674418604,0.9545454545454546,470.7936507936508,80.00000000000007,1572.1359446852646,586.0000000000002,0.05714285714285714
all_test,Stack,Full3C,42,43,accepted,P,50,330,221,326,232,94,98,0.7073170731707317,0.9878787878787879,129.47852760736185,29.99999999999936,650.6360738642586,165.00000000000006,0.012269938650306749
all_test,Stack,Full3C,42,43,accepted,P,100,330,221,326,271,55,59,0.8262195121951219,0.9878787878787879,129.47852760736185,29.99999999999936,650.6360738642586,165.00000000000006,0.012269938650306749
all_test,Stack,Full3C,42,43,accepted,P,200,330,221,326,297,29,33,0.9054878048780488,0.9878787878787879,129.47852760736185,29.99999999999936,650.6360738642586,165.00000000000006,0.012269938650306749
all_test,Stack,Full3C,42,43,accepted,S,50,330,221,320,116,204,214,0.3569230769230769,0.9696969696969697,617.625,89.99999999999986,1908.3525290155383,673.0000000000005,0.078125
all_test,Stack,Full3C,42,43,accepted,S,100,330,221,320,174,146,156,0.5353846153846153,0.9696969696969697,617.625,89.99999999999986,1908.3525290155383,673.0000000000005,0.078125
all_test,Stack,Full3C,42,43,accepted,S,200,330,221,320,220,100,110,0.676923076923077,0.9696969696969697,617.625,89.99999999999986,1908.3525290155383,673.0000000000005,0.078125
all_test,Stack,Full3C,42,43,strict,P,50,330,221,322,232,90,98,0.7116564417177914,0.9757575757575757,125.4968944099378,29.99999999999936,652.647023011645,159.0000000000005,0.012422360248447204
all_test,Stack,Full3C,42,43,strict,P,100,330,221,322,271,51,59,0.8312883435582822,0.9757575757575757,125.4968944099378,29.99999999999936,652.647023011645,159.0000000000005,0.012422360248447204
all_test,Stack,Full3C,42,43,strict,P,200,330,221,322,297,25,33,0.911042944785276,0.9757575757575757,125.4968944099378,29.99999999999936,652.647023011645,159.0000000000005,0.012422360248447204
all_test,Stack,Full3C,42,43,strict,S,50,330,221,310,116,194,214,0.3625,0.9393939393939394,526.2258064516129,80.00000000000007,1756.152594589625,594.0000000000007,0.06129032258064516
all_test,Stack,Full3C,42,43,strict,S,100,330,221,310,173,137,157,0.540625,0.9393939393939394,526.2258064516129,80.00000000000007,1756.152594589625,594.0000000000007,0.06129032258064516
all_test,Stack,Full3C,42,43,strict,S,200,330,221,310,217,93,113,0.678125,0.9393939393939394,526.2258064516129,80.00000000000007,1756.152594589625,594.0000000000007,0.06129032258064516
all_test,Stack,Full3C,42,44,accepted,P,50,330,221,329,231,98,99,0.701062215477997,0.996969696969697,291.88449848024305,29.999999999999805,2234.1994343527185,192.00000000000023,0.0182370820668693
all_test,Stack,Full3C,42,44,accepted,P,100,330,221,329,271,58,59,0.8224582701062215,0.996969696969697,291.88449848024305,29.999999999999805,2234.1994343527185,192.00000000000023,0.0182370820668693
all_test,Stack,Full3C,42,44,accepted,P,200,330,221,329,297,32,33,0.9013657056145675,0.996969696969697,291.88449848024305,29.999999999999805,2234.1994343527185,192.00000000000023,0.0182370820668693
all_test,Stack,Full3C,42,44,accepted,S,50,330,221,322,116,206,214,0.3558282208588957,0.9757575757575757,553.5093167701864,84.99999999999997,1825.6401072616245,688.0000000000018,0.06832298136645963
all_test,Stack,Full3C,42,44,accepted,S,100,330,221,322,178,144,152,0.5460122699386503,0.9757575757575757,553.5093167701864,84.99999999999997,1825.6401072616245,688.0000000000018,0.06832298136645963
all_test,Stack,Full3C,42,44,accepted,S,200,330,221,322,216,106,114,0.6625766871165644,0.9757575757575757,553.5093167701864,84.99999999999997,1825.6401072616245,688.0000000000018,0.06832298136645963
all_test,Stack,Full3C,42,44,strict,P,50,330,221,324,231,93,99,0.7064220183486238,0.9818181818181818,129.41358024691345,29.99999999999936,652.9248061370741,166.9999999999999,0.012345679012345678
all_test,Stack,Full3C,42,44,strict,P,100,330,221,324,271,53,59,0.8287461773700305,0.9818181818181818,129.41358024691345,29.99999999999936,652.9248061370741,166.9999999999999,0.012345679012345678
all_test,Stack,Full3C,42,44,strict,P,200,330,221,324,296,28,34,0.9051987767584098,0.9818181818181818,129.41358024691345,29.99999999999936,652.9248061370741,166.9999999999999,0.012345679012345678
all_test,Stack,Full3C,42,44,strict,S,50,330,221,313,116,197,214,0.3608087091757387,0.9484848484848485,444.4408945686901,80.00000000000007,1515.6127832088903,620.000000000001,0.054313099041533544
all_test,Stack,Full3C,42,44,strict,S,100,330,221,313,177,136,153,0.5505443234836703,0.9484848484848485,444.4408945686901,80.00000000000007,1515.6127832088903,620.000000000001,0.054313099041533544
all_test,Stack,Full3C,42,44,strict,S,200,330,221,313,215,98,115,0.6687402799377916,0.9484848484848485,444.4408945686901,80.00000000000007,1515.6127832088903,620.000000000001,0.054313099041533544
all_test,Stack,Full3C,43,42,accepted,P,50,330,221,327,230,97,100,0.700152207001522,0.990909090909091,129.17431192660538,29.999999999999805,648.0476442635016,169.99999999999994,0.012232415902140673
all_test,Stack,Full3C,43,42,accepted,P,100,330,221,327,275,52,55,0.837138508371385,0.990909090909091,129.17431192660538,29.999999999999805,648.0476442635016,169.99999999999994,0.012232415902140673
all_test,Stack,Full3C,43,42,accepted,P,200,330,221,327,299,28,31,0.9101978691019786,0.990909090909091,129.17431192660538,29.999999999999805,648.0476442635016,169.99999999999994,0.012232415902140673
all_test,Stack,Full3C,43,42,accepted,S,50,330,221,324,130,194,200,0.39755351681957185,0.9818181818181818,577.6543209876543,70.00000000000028,1981.2860582067508,680.9999999999993,0.07098765432098765
all_test,Stack,Full3C,43,42,accepted,S,100,330,221,324,186,138,144,0.5688073394495413,0.9818181818181818,577.6543209876543,70.00000000000028,1981.2860582067508,680.9999999999993,0.07098765432098765
all_test,Stack,Full3C,43,42,accepted,S,200,330,221,324,232,92,98,0.709480122324159,0.9818181818181818,577.6543209876543,70.00000000000028,1981.2860582067508,680.9999999999993,0.07098765432098765
all_test,Stack,Full3C,43,42,strict,P,50,330,221,321,230,91,100,0.706605222734255,0.9727272727272728,125.6697819314641,29.99999999999936,652.1013242370016,160.00000000000014,0.012461059190031152
all_test,Stack,Full3C,43,42,strict,P,100,330,221,321,274,47,56,0.8417818740399385,0.9727272727272728,125.6697819314641,29.99999999999936,652.1013242370016,160.00000000000014,0.012461059190031152
all_test,Stack,Full3C,43,42,strict,P,200,330,221,321,297,24,33,0.9124423963133641,0.9727272727272728,125.6697819314641,29.99999999999936,652.1013242370016,160.00000000000014,0.012461059190031152
all_test,Stack,Full3C,43,42,strict,S,50,330,221,309,128,181,202,0.40062597809076683,0.9363636363636364,462.556634304207,70.00000000000028,1550.7157758518251,599.9999999999985,0.061488673139158574
all_test,Stack,Full3C,43,42,strict,S,100,330,221,309,181,128,149,0.5665101721439749,0.9363636363636364,462.556634304207,70.00000000000028,1550.7157758518251,599.9999999999985,0.061488673139158574
all_test,Stack,Full3C,43,42,strict,S,200,330,221,309,225,84,105,0.704225352112676,0.9363636363636364,462.556634304207,70.00000000000028,1550.7157758518251,599.9999999999985,0.061488673139158574
all_test,Stack,Full3C,43,43,accepted,P,50,330,221,325,230,95,100,0.7022900763358778,0.9848484848484849,127.16923076923064,29.99999999999936,648.6694073254881,166.00000000000026,0.012307692307692308
all_test,Stack,Full3C,43,43,accepted,P,100,330,221,325,272,53,58,0.8305343511450382,0.9848484848484849,127.16923076923064,29.99999999999936,648.6694073254881,166.00000000000026,0.012307692307692308
all_test,Stack,Full3C,43,43,accepted,P,200,330,221,325,296,29,34,0.9038167938931297,0.9848484848484849,127.16923076923064,29.99999999999936,648.6694073254881,166.00000000000026,0.012307692307692308
all_test,Stack,Full3C,43,43,accepted,S,50,330,221,324,128,196,202,0.39143730886850153,0.9818181818181818,735.6481481481482,80.00000000000007,2453.075230485146,810.9999999999995,0.09567901234567901
all_test,Stack,Full3C,43,43,accepted,S,100,330,221,324,185,139,145,0.5657492354740061,0.9818181818181818,735.6481481481482,80.00000000000007,2453.075230485146,810.9999999999995,0.09567901234567901
all_test,Stack,Full3C,43,43,accepted,S,200,330,221,324,224,100,106,0.6850152905198776,0.9818181818181818,735.6481481481482,80.00000000000007,2453.075230485146,810.9999999999995,0.09567901234567901
all_test,Stack,Full3C,43,43,strict,P,50,330,221,322,229,93,101,0.7024539877300614,0.9757575757575757,126.36645962732905,29.99999999999936,651.1945545120037,160.00000000000014,0.012422360248447204
all_test,Stack,Full3C,43,43,strict,P,100,330,221,322,271,51,59,0.8312883435582822,0.9757575757575757,126.36645962732905,29.99999999999936,651.1945545120037,160.00000000000014,0.012422360248447204
all_test,Stack,Full3C,43,43,strict,P,200,330,221,322,295,27,35,0.9049079754601227,0.9757575757575757,126.36645962732905,29.99999999999936,651.1945545120037,160.00000000000014,0.012422360248447204
all_test,Stack,Full3C,43,43,strict,S,50,330,221,307,124,183,206,0.3893249607535322,0.9303030303030303,624.0065146579805,70.00000000000028,2103.8044489945164,744.0000000000005,0.08469055374592833
all_test,Stack,Full3C,43,43,strict,S,100,330,221,307,181,126,149,0.5682888540031397,0.9303030303030303,624.0065146579805,70.00000000000028,2103.8044489945164,744.0000000000005,0.08469055374592833
all_test,Stack,Full3C,43,43,strict,S,200,330,221,307,219,88,111,0.6875981161695447,0.9303030303030303,624.0065146579805,70.00000000000028,2103.8044489945164,744.0000000000005,0.08469055374592833
all_test,Stack,Full3C,43,44,accepted,P,50,330,221,327,227,100,103,0.6910197869101978,0.990909090909091,131.89602446483167,29.99999999999936,649.6941176301202,179.99999999999972,0.012232415902140673
all_test,Stack,Full3C,43,44,accepted,P,100,330,221,327,272,55,58,0.8280060882800608,0.990909090909091,131.89602446483167,29.99999999999936,649.6941176301202,179.99999999999972,0.012232415902140673
all_test,Stack,Full3C,43,44,accepted,P,200,330,221,327,297,30,33,0.9041095890410958,0.990909090909091,131.89602446483167,29.99999999999936,649.6941176301202,179.99999999999972,0.012232415902140673
all_test,Stack,Full3C,43,44,accepted,S,50,330,221,326,129,197,201,0.3932926829268293,0.9878787878787879,638.9877300613497,80.00000000000007,2241.400676778927,684.9999999999995,0.07975460122699386
