path,group,mode,kind,base_seed,seed,fold,bytes,sha256
checkpoints/original/models/Full3C/Full3C_CNN_fold0_seed42.mat,original,Full3C,CNN,42,42,0,515463,93f256afbd22b05dbee02a7089c340c8e1728411d03ac066356a1f031e713861
checkpoints/original/models/Full3C/Full3C_CNN_fold1_seed42.mat,original,Full3C,CNN,42,42,1,480367,6b3dddebe792a8d42d8e5f1f92bafac6d10ac04ebe0b88ffec03fbe670af18f9
checkpoints/original/models/Full3C/Full3C_CNN_fold2_seed42.mat,original,Full3C,CNN,42,42,2,478632,a39c3a72c15fe83e5aef807af2cce56a4969555f6e705c295724a533088fb996
checkpoints/original/models/Full3C/Full3C_CNN_fold3_seed42.mat,original,Full3C,CNN,42,42,3,478152,7cd785f5770928f6e79a298de3872282c2229623ee75e1c86424fdc471f5c549
checkpoints/original/models/Full3C/Full3C_CNN_fold4_seed42.mat,original,Full3C,CNN,42,42,4,460305,eee1d72779b0dba61c0d587a495c4631f721affbe4aa7e342ce659f23e2df614
checkpoints/original/models/Full3C/Full3C_CNN_fold5_seed42.mat,original,Full3C,CNN,42,42,5,478547,8b64867a5132718be964b4a0d295b21dc0fe140ed29cf9b2b3c1e153cac94cc6
checkpoints/original/models/Full3C/Full3C_full15ch_fold-1_seed42.mat,original,Full3C,full15ch,42,42,-1,1009366,40774e4975773517d2393faeb44f7a76ce5a3ff07332789101a97d108c7972ad
checkpoints/original/models/Full3C/Full3C_full15ch_fold-1_seed43.mat,original,Full3C,full15ch,42,43,-1,1007791,e18078c3d998df5e95b5f81878355eecb6bd30f4a1c6ead06787b77767cc8697
checkpoints/original/models/Full3C/Full3C_full15ch_fold-1_seed44.mat,original,Full3C,full15ch,42,44,-1,968406,b50144e7e16a799a4044c21f4a997fda91678402bfe05addd82f39197ae64a62
checkpoints/original/models/Full3C/Full3C_logistic_fold-1_seed42.mat,original,Full3C,logistic,42,42,-1,69444,7fc5138737f3b961c235c34700c76b1598d1a33e4c261b975cb278393f5f4c20
checkpoints/original/models/Full3C/Full3C_nodilation_fold-1_seed42.mat,original,Full3C,nodilation,42,42,-1,976732,cfb034fa66f93b7c49a3fa55295342156bcd5888870cee5fd6ec5d24e431b15f
checkpoints/original/models/Full3C/Full3C_nodilation_fold-1_seed43.mat,original,Full3C,nodilation,42,43,-1,928713,533fcc1c9c876d50d83d2ba12743466e0efb36d44272cd6e7b68256f31ecf295
checkpoints/original/models/Full3C/Full3C_nodilation_fold-1_seed44.mat,original,Full3C,nodilation,42,44,-1,971738,3d8f38a97cf7fb7d0bfc0b97fbccecef303c0c21c7b0b5ea2036aee40bb42eca
checkpoints/original/models/Full3C/Full3C_probonly12_fold-1_seed42.mat,original,Full3C,probonly12,42,42,-1,955766,37bc8c6e412a18d6b1de75ac797570923afe21c11451b02e7a5057ff5964a6fc
checkpoints/original/models/Full3C/Full3C_probonly12_fold-1_seed43.mat,original,Full3C,probonly12,42,43,-1,915196,4f5367ad9576f0e62a7ab8ff4cb5ce903a6bed65c823788e1ce1a8907800a7d0
checkpoints/original/models/Full3C/Full3C_probonly12_fold-1_seed44.mat,original,Full3C,probonly12,42,44,-1,956133,04e056c081247faee3e3df995ed96634de3e942b7353f861af0c75080c9d38a4
checkpoints/original/models/Full3C/Full3C_TCN_fold0_seed42.mat,original,Full3C,TCN,42,42,0,580002,d7c292b8626345c7f3f8d61b9cb6ab38a207e6ff531aec5350d1fcd0d225857a
checkpoints/original/models/Full3C/Full3C_TCN_fold1_seed42.mat,original,Full3C,TCN,42,42,1,541850,c111d50619f92c5a215d46c23ac4b8649a01d78c247e3792dc3f479fb12af271
checkpoints/original/models/Full3C/Full3C_TCN_fold2_seed42.mat,original,Full3C,TCN,42,42,2,542978,70bd5e2b1e85ad47bb6d9e30b0f84736610a6469c886ba9e692ad896d4d5cf1a
checkpoints/original/models/Full3C/Full3C_TCN_fold3_seed42.mat,original,Full3C,TCN,42,42,3,542552,cce5a7720850ffdc2d8aec8ee644cceeba91ceb4a1fe384863aef97033587eb2
checkpoints/original/models/Full3C/Full3C_TCN_fold4_seed42.mat,original,Full3C,TCN,42,42,4,542811,175329a2108f06ed87b9556946711326deb5f5f460827518fa145fc647c2fd5c
checkpoints/original/models/Full3C/Full3C_TCN_fold5_seed42.mat,original,Full3C,TCN,42,42,5,542917,7f02ed04f8e30d471f4ee574ca84b2d7357ebf9b08ada2a381af698647cdbb87
checkpoints/original/models/Full3C/Full3C_waveonly3_fold-1_seed42.mat,original,Full3C,waveonly3,42,42,-1,988800,77fc0132f85a847b41c6299ad47be0ac97725ed42876febaf7a52d50fdd4aa84
checkpoints/original/models/Full3C/Full3C_waveonly3_fold-1_seed43.mat,original,Full3C,waveonly3,42,43,-1,988674,6309b2b5e1ce35bc374bb47a2593bb1a7f52dd68fd2b04b25659ec2aec1e8711
checkpoints/original/models/Full3C/Full3C_waveonly3_fold-1_seed44.mat,original,Full3C,waveonly3,42,44,-1,952196,be09d435bd7c84075dedc9f0ab3bdebd2f60082aae34bc2fa1e8b2620b406f1c
checkpoints/original/models/Zonly/Zonly_CNN_fold0_seed42.mat,original,Zonly,CNN,42,42,0,512270,d22b80384597152cc82a0f0d2813f5035ca679b6385f7a44fc17780a40d87ff5
checkpoints/original/models/Zonly/Zonly_CNN_fold1_seed42.mat,original,Zonly,CNN,42,42,1,475387,8cf21976a931778dd3b4d55444ea629932111e7c6b80bf81ced77cce59bb0d44
checkpoints/original/models/Zonly/Zonly_CNN_fold2_seed42.mat,original,Zonly,CNN,42,42,2,475520,2f8d3f8ffdc09a1887b05f6e40915f99d9ed6fe4063b591128fe91a50a0ac43f
checkpoints/original/models/Zonly/Zonly_CNN_fold3_seed42.mat,original,Zonly,CNN,42,42,3,475106,a462c1fee1d02b374133b60ac9b4e55200843223028ce6390c5531baea8c5d09
checkpoints/original/models/Zonly/Zonly_CNN_fold4_seed42.mat,original,Zonly,CNN,42,42,4,475359,a2acef8b54147e6abf907579fd4fdb860f421f9aac88a434dbb4cfc807e676e7
checkpoints/original/models/Zonly/Zonly_CNN_fold5_seed42.mat,original,Zonly,CNN,42,42,5,475554,027486bc8f3600ca452884dc5e860b0ed7bafaa8b090c9f90f76a17ad4bc639e
checkpoints/original/models/Zonly/Zonly_full15ch_fold-1_seed42.mat,original,Zonly,full15ch,42,42,-1,966621,01c58f246ef650c87e059bf88c49655003b449d1e1f6ee3135d6b27ebb18b29a
checkpoints/original/models/Zonly/Zonly_full15ch_fold-1_seed43.mat,original,Zonly,full15ch,42,43,-1,914404,e4300a356000d2374a7a4bbc243bf7ef23ac22a3cc8c0217c0e72433991e0d59
